EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
POWERFORCE FIELD MARKETING AND RETAIL SERVICES LIMITED,"C/O Legalinx Ltd, 1 Fetter Lane,
London,
EC4A 1BR",6365928,74909,2,4.7,14.3,45,76.2,39.4,27.1,72.9,22.5,77.5,50.7,49.3,42.3,57.7,,John Hubner (Group HR Director UK),250 to 499,POWERFORCE FIELD MARKETING AND RETAIL SERVICES LIMITED,FALSE
POWERLEAGUE FIVES LIMITED,"172 Tottenham Court Road,
2nd Floor,
London,
England,
W1T 7NS",3867954,93110,21.7,9.6,57.6,64.8,33.1,31.6,43.8,56.2,49.5,50.5,58.9,41.1,75.4,24.6,,Christian Rose (CEO),250 to 499,POWERLEAGUE FIVES LIMITED,FALSE
PPHE (UK) LIMITED,"1st, Floor, Stanmore House,
15/19 Church Road,
Stanmore,
Middlesex,
HA7 4AR",4513660,70229,12.7,2,58.1,56.7,17.3,29.8,60.4,39.6,19.9,80.1,38.1,61.9,56.3,43.7,https://www.pphe.com/responsibility/responsible-reporting,Jaklien van Sterkenberg (Executive Vice President People & Culture - Head of Human Resources),1000 to 4999,PPHE (UK) LIMITED,FALSE
PPHE SUPPORT SERVICES  LIMITED,"County Hall - Riverside Building, 2nd Floor, Belvedere Road,
London,
United Kingdom,
SE1 7GP",11092400,55100,7,0,NA,NA,0,13.6,13.1,86.9,13.1,86.9,13.1,86.9,9.3,90.7,https://www.pphe.com/responsibility/responsible-reporting,Jaklien van Sterkenberg (Executive Vice President People & Culture - Head of Human Resources),250 to 499,PPHE SUPPORT SERVICES  LIMITED,FALSE
PRA GROUP (UK) LIMITED,"Wells House, 15-17 Elmfield Road,
Bromley,
Kent,
BR1 1LT",4267803,64999,37,31,84,69,84,73,29,71,45,55,63,37,68,32,https://pragroup.co.uk/wp-content/uploads/2019/04/Gender-Gap-Report.pdf,Joanne Liddle (European HR Director),500 to 999,PRA GROUP (UK) LIMITED,FALSE
PRADA RETAIL UK LIMITED,"17-18 Old Bond Street,
London,
England,
W1S 4PT",3299599,47710,14,6,10,23,91,88,44,56,35,65,47,53,54,46,,Alessandra Marsicola (Regional Director North West Europe),250 to 499,PRADA RETAIL UK LIMITED,FALSE
PRE MERGER ACCOUNTANCY LIMITED,"2nd Floor Regis House,
45 King William Street,
London,
United Kingdom,
EC4R 9AN",2951451,69201,20,24.8,69.4,41.2,17.5,18.7,38,62,28,72,45,55,61,39,,William Payne (Managing Partner),500 to 999,PRE MERGER ACCOUNTANCY LIMITED,TRUE
PRECIOUS HOMES LIMITED,"Magic House,
5-11 Green Lanes,
Palmers Green,
London,
United Kingdom,
N13 4TN",2981404,"87900,
88990",10.8,2.8,55.2,-29.6,41,33.3,32.7,67.3,38.7,61.3,43.2,56.8,46.4,53.6,http://www.precious-homes.co.uk/,WENDY GENNINGS (HEAD OF HR),500 to 999,PRECIOUS HOMES LIMITED,FALSE
Precise Media Monitoring Ltd,"222 Gray's Inn Road,
London,
England,
WC1X 8HB",3247942,63910,3.9,-4,43.7,-403.1,52.5,51,62,38,69,31,57,43,64,36,http://www.kantar.com/cookies-policies,Justin Morgan (Senior Reward Director),250 to 499,Precise Media Monitoring Ltd,FALSE
PREMIER HOME LOGISTICS LIMITED,"27 Bagleys Lane,
Fulham London,
United Kingdom,
SW6 2QA",4313286,"49410,
52103,
52219",15.3,8.9,NA,NA,0,0,98.2,1.8,92.9,7.1,91.1,8.9,82.5,17.5,https://www.lauraashley.com/file/general/Gender%20Pay%20Gap%20-%20PHL%20-%20April%202018.pdf,KC Ng (CEO),Less than 250,PREMIER HOME LOGISTICS LIMITED,FALSE
PREMIER WORK SUPPORT LIMITED,"19-20 Bourne Court Southend Road,
Woodford Green,
Essex,
England,
IG8 8HD",5139457,78200,1.8,0.4,NA,NA,0,0,48.1,51.9,71.2,28.8,49.3,50.7,81.7,18.3,,Joe Green (Managing Director),1000 to 4999,PREMIER WORK SUPPORT LIMITED,FALSE
PREMIERE COFFEE LIMITED,"Finance Office Costa Coffee,
311-313 Collier Row Lane,
Romford,
England,
RM5 3ND",5156564,56102,-6,-5,-37,-33,39,38,44,56,41,59,32,68,33,67,,Emma Grand-Scrutton (Hr and Payroll Team Leader),1000 to 4999,PREMIERE COFFEE LIMITED,FALSE
PREMIERE EMPLOYMENT GROUP LIMITED,"Chevron House, 346 Long Lane,
Hillingdon,
Middlesex,
UB10 9PF",4963501,78200,-6.3,-8.7,-366.3,-14490.8,8.4,4.4,49.8,50.2,67.9,32.1,48.6,51.4,47.4,52.6,,Ken Steers (Group HR Director),1000 to 4999,PREMIERE EMPLOYMENT GROUP LIMITED,FALSE
Pre-School Learning Alliance,"50 Featherstone Street,
London,
England,
EC1Y 8RT",4539003,"85100,
85410",29,20,NA,NA,0,0,3.2,96.8,2.9,97.1,0.9,99.1,7,93,https://www.eyalliance.org.uk/governance,Neil Leitch (Chief Executive),1000 to 4999,Pre-School Learning Alliance,FALSE
PRESTIGE NURSING LIMITED,"Greenview House 5 Manor Road, Wallington,
Surrey,
SM6 0BW",1006953,"70100,
78109,
78200,
86900",7.4,4.5,-24.3,-47.4,8.1,7.4,9.9,90.1,12.5,87.5,14.1,85.9,16,84,https://www.prestige-nursing.co.uk/about/gender-pay-report/,Jonathan Bruce (Managing Director),1000 to 4999,PRESTIGE NURSING LIMITED,FALSE
PRESTIGE SERVICES LONDON LIMITED,"3 Tudor Court,
Brighton Road,
Sutton,
England,
SM2 5AE",3061536,81210,1.9,1.5,NA,NA,0,0,38,62,53.4,46.6,32.8,67.2,36.9,63.1,,Jenny Giles (Director),250 to 499,PRESTIGE SERVICES LONDON LIMITED,FALSE
PRET A MANGER (EUROPE) LIMITED,"75b Verde,
10 Bressenden Place,
London,
England,
SW1E 5DH",1854213,"47110,
47290",4.3,0.7,16.5,13.7,97,98,41,59,39,61,40,60,44,56,https://pret.com,Andrea Wareham (Director of People),"5000 to 19,999",PRET A MANGER (EUROPE) LIMITED,FALSE
PREZZO LIMITED,"Johnston House,
8 Johnston Road,
Woodford Green,
Essex,
United Kingdom,
IG8 0XA",3919682,56101,8.7,0.9,24,23.2,14.3,10.8,34,66,43,57,56,44,69,31,,Danielle Brayson (Payroll Manager),1000 to 4999,PREZZO LIMITED,FALSE
PRICE FORBES & PARTNERS LIMITED,"2 Minster Court,
Mincing Lane,
London,
United Kingdom,
EC3R 7PD",5734247,65120,55.1,52.7,62.2,73.3,87,87,55.3,44.7,56.4,43.6,82.8,17.2,94.7,5.3,https://www.priceforbes.com/wp-content/uploads/2019/04/PF-Gender-Pay-Gap-report-for-2018-April-2019-1.pdf,Tim Baggott (HR Director),250 to 499,PRICE FORBES & PARTNERS LIMITED,FALSE
PRICEWATERHOUSECOOPERS LLP,"1 Embankment Place,
London,
United Kingdom,
WC2N 6RH",OC303525,,31.2,32.3,57,68.3,88.5,85.7,14,86,43,57,51,49,60,40,https://www.pwc.co.uk/annualreport/assets/2018/pdf/annual-report-18-diversity-pay-report.pdf,Laura Hinton (Chief People Officer),"5000 to 19,999",PRICEWATERHOUSECOOPERS LLP,FALSE
PRICEWATERHOUSECOOPERS SERVICES LIMITED,"1 Embankment Place,
London,
United Kingdom,
WC2N 6RH",728502,82990,10.8,11.2,34.3,32.2,65.8,68.1,51,49,49,51,53,47,60,40,https://www.pwc.co.uk/annualreport/assets/2018/pdf/annual-report-18-diversity-pay-report.pdf,Laura Hinton (Chief People Officer),"5000 to 19,999",PRICEWATERHOUSECOOPERS SERVICES LIMITED,FALSE
PRIMARK STORES LIMITED,"Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY",453448,47710,13.8,0,41.7,36.4,4.5,1.5,25.2,74.8,24.2,75.8,17.5,82.5,37.1,62.9,https://www.primark.com/genderpay,"Lorraine Culligan (Group Director, People & Culture)","20,000 or more",PRIMARK STORES LIMITED,FALSE
PRIME HOTELS (UK) LIMITED,"Bulgari Hotel & Residences London,
171 Knightsbridge,
London,
United Kingdom,
SW7 1DW",7468060,"55100,
56210,
56290",10.3,7.6,48.6,-6.8,36.8,33,59.3,40.7,49.1,50.9,66.7,33.3,61.1,38.9,,Michael O'Neill (Director of Human Resources),250 to 499,PRIME HOTELS (UK) LIMITED,FALSE
"PRIMETALS TECHNOLOGIES, LIMITED","Building 11 Chiswick Park,
566 Chiswick High Road,
London,
England,
W4 5YA",9155890,"71121,
96090",34,34.1,70.7,0,100,100,55,45,81.2,18.8,90,10,97.5,2.5,https://www.primetals.com/careers/career-site-of-uk,Stephen Brown (CEO UK Operating Companies),250 to 499,"PRIMETALS TECHNOLOGIES, LIMITED",FALSE
PRINCIPLE SERVICES HOLDINGS LIMITED,"Solar House,
Romford Road,
London,
England,
E15 4LJ",4690552,70100,1.5,0,9,0,6,4.5,38.7,61.3,37.4,62.6,47.5,52.5,50.4,49.6,,Lilia Lamberto (HR Director),1000 to 4999,PRINCIPLE SERVICES HOLDINGS LIMITED,FALSE
PRINOVIS UK LIMITED,"One Fleet Place,
London,
United Kingdom,
EC4M 7WS",5063783,58190,3.9,21.2,-10.8,0,97,94.2,81.5,18.5,92.4,7.6,95,5,90,10,http://www.prinovis.co.uk/company/corporate-responsibility/gender-pay-gap/,Katherine Brown (Human Resources Director),250 to 499,PRINOVIS UK LIMITED,FALSE
PRIORY CENTRAL SERVICES LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",4391278,82990,37.4,25.7,39.7,11.1,48.3,23,13.5,86.5,41.7,58.3,48.4,51.6,58.3,41.7,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),250 to 499,PRIORY CENTRAL SERVICES LIMITED,FALSE
PRIORY EDUCATION SERVICES LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",6244880,85310,9.5,6.4,-54.8,-51.6,1.9,0.7,24.6,75.4,30.3,69.7,33.7,66.3,36.9,63.1,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),1000 to 4999,PRIORY EDUCATION SERVICES LIMITED,FALSE
PRIORY HEALTHCARE LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",6244860,86101,11.3,10.5,36.7,0,9.9,10,18.6,81.4,20.8,79.2,25.3,74.7,28.6,71.4,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),1000 to 4999,PRIORY HEALTHCARE LIMITED,FALSE
PRIORY REHABILITATION SERVICES LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",6244877,86101,7.9,4.8,41.7,0,9.9,9.7,23.6,76.4,24.4,75.6,26.2,73.8,31.7,68.3,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),500 to 999,PRIORY REHABILITATION SERVICES LIMITED,FALSE
PRIVATE TUITION SERVICES LTD,"1-19 Wakefield Street,
2nd & 3rd Floor,
London,
N18 2BZ",5142566,85310,2.6,0,0,0,0,0,35,65,25,75,24,76,25,75,,Dr Nazir Ahmed (Director),250 to 499,PRIVATE TUITION SERVICES LTD,FALSE
PRO INSURANCE SOLUTIONS LIMITED,"One America Square,
Crosswall,
London,
England,
EC3N 2LB",2801404,66220,34.5,24,38,35,71,72,51,49,36,64,61,39,77,23,http://www.pro-global.com/uk,Artur Niemczewski (CEO),250 to 499,PRO INSURANCE SOLUTIONS LIMITED,FALSE
PRO UNLIMITED GLOBAL LTD,"107-111 Fleet Street Suite 202,
London,
United Kingdom,
EC4A 2AB",5537535,"70229,
78109,
78300",23,20,19,2,10,11,37,63,36,64,49,51,47,53,,Adam Hall (International Finance Operations Manager),250 to 499,PRO UNLIMITED GLOBAL LTD,FALSE
PROPERTY SUPPORT SERVICES UK LIMITED,"249 Cranbrook Road,
Ilford,
Essex,
United Kingdom,
IG1 4TG",5620948,81210,7.3,7.8,0.1,-0.5,45,30,34.1,65.9,42.2,57.8,48.9,51.1,53.2,46.8,,Ledia Shabani (Payroll Manager),500 to 999,PROPERTY SUPPORT SERVICES UK LIMITED,FALSE
Prospect,"8 Leake Street,
London,
SE1 7NN",,,18,28,NA,NA,0,0,20,80,23,77,54,46,57,43,https://www.prospect.org.uk/resources/annual-reports-rules/index,Mike Clancy (General Secretary),250 to 499,Prospect,FALSE
PROSPECTS SERVICES,"Shaw Trust House,
19 Elmfield Road,
Bromley,
Kent,
England,
BR1 1LT",3042176,85600,9.6,1.5,22.3,19,77.9,78.5,27.8,72.2,29.1,70.9,27.1,72.9,34.8,65.2,,Mark Earl (Chief Talent Officer),1000 to 4999,PROSPECTS SERVICES,FALSE
PROTOCOL EDUCATION LIMITED,"247 Tottenham Court Road,
London,
W1T 7QW",2926583,78200,9,16,24,54,8,4,20,80,27,73,31,69,31,69,https://www.protocol-education.com/gender-pay-gap-reporting,John Bowman (Director),1000 to 4999,PROTOCOL EDUCATION LIMITED,FALSE
PRS FOR MUSIC LIMITED,"2 Pancras Square,
London,
United Kingdom,
N1C 4AG",3444246,82990,16.8,9.7,63,23.3,79.6,79.4,55.6,44.4,53.4,46.6,60.9,39.1,69.2,30.8,https://www.prsformusic.com/about-us/corporate-information,Pamela Harding (Human Resources Director),250 to 499,PRS FOR MUSIC LIMITED,FALSE
PRUDENTIAL FINANCIAL PLANNING LIMITED,"10 Fenchurch Avenue,
London,
United Kingdom,
EC3M 5AG",5739054,64999,6.3,0.1,13.3,8.1,87,86,76,24,74,26,66,34,84,16,https://www.mandgprudential.com/-/media-gallery/files/mgpru/downloadable-assets/press-release-pdf/2019/pru102132-010_prudential_uk_mgprudential_gpg_2018.pdf,"Chris Haines (CEO, Prudential Financial Planning)",250 to 499,PRUDENTIAL FINANCIAL PLANNING LIMITED,FALSE
PRUDENTIAL SERVICES LIMITED,"1 Angel Court,
London,
England,
EC2R 7AG",2313235,82990,42.8,25.8,72.5,54,90,91,30,70,54,46,65,35,70,30,https://www.prudential.co.uk/~/media/Files/P/Prudential-V2/reports/2018/gender-pay-gap-report-2018-gho.pdf,Tim Rolfe (Group HR Director),500 to 999,PRUDENTIAL SERVICES LIMITED,FALSE
PUBLIC RESTAURANT PARTNER LIMITED,"29/30 Fitzroy Square,
London,
United Kingdom,
W1T 6LQ",5111519,"56101,
56102,
56103,
56210",6.2,0,0,0,0,0,43.1,56.9,56.6,43.4,55.5,44.5,59.3,40.7,,Hitesh Padhair (Financial Controller),500 to 999,PUBLIC RESTAURANT PARTNER LIMITED,FALSE
PUBLICIS HEALTHCARE COMMUNICATIONS GROUP LIMITED,"1st, Floor 2 Television Centre,
101 Wood Lane,
London,
England And Wales,
United Kingdom,
W12 7FR",1072087,73110,23.5,23.2,-51.5,0,41.2,33.7,28.2,71.8,17.1,82.9,44.3,55.7,48.6,51.4,http://bit.ly/phukgpgr2018,Juliet Harris (Group Chief Talent Officer),250 to 499,PUBLICIS HEALTHCARE COMMUNICATIONS GROUP LIMITED,FALSE
PUBLICIS LIMITED,"1st Floor 2 Television Centre,
101 Wood Lane,
London,
England And Wales,
United Kingdom,
W12 7FR",1046052,73110,22.7,20.5,56,76.7,7.3,6.6,40.3,59.7,38.9,61.1,48.6,51.4,57.5,42.5,https://publicis.london/wp-content/uploads/2019/03/Gender-Pay-Gap-Report-2018.pdf,"Nick Farnhill (CEO, Publicis Worldwide UK)",250 to 499,PUBLICIS LIMITED,FALSE
PULSE HEALTHCARE LIMITED,"Caledonia House, 223 Pentonville Road,
London,
England,
N1 9NG",3156103,78200,15.6,1.5,44.6,44.4,7.4,7.4,24.9,75.1,25,75,21.7,78.3,29.7,70.3,https://ukics.com/gender-pay-gap/,Richard MacMillan (CEO),"5000 to 19,999",PULSE HEALTHCARE LIMITED,FALSE
PUMA UNITED KINGDOM LTD,"Sea Containers, 22 Upper Ground,
London,
SE1 9AE",3712972,46420,20.6,3.9,54,20.8,87.9,89.2,61.8,38.2,64.7,35.3,69.1,30.9,67.2,32.8,,Gail Cole (Head of HR),250 to 499,PUMA UNITED KINGDOM LTD,FALSE
QANTAS CABIN CREW (UK) LIMITED,"The Oceanic Suite Room 00235 North Wing,
Terminal3, Heathrow Airport,
Hounslow,
United Kingdom,
TW6 1QG",5157316,82990,8,4,13.5,0,82,80,36,64,33,67,35,65,53,47,https://www.qantas.com/au/en/qantas-group/acting-responsibly/our-reporting-approach.html?int_cam=au%3Aacting-responsibly%3Aarticle%3Aour-reporting-approach%3Aen%3Ann,Janine Michailidis (HR Manager),250 to 499,QANTAS CABIN CREW (UK) LIMITED,FALSE
QBE MANAGEMENT SERVICES (UK) LIMITED,"Plantation Place,
30 Fenchurch Street,
London,
United Kingdom,
EC3M 3BD",3153567,"70100,
82990",27.3,25.8,70.4,46.6,90,89,49.4,50.6,49.5,50.5,63.8,36.2,73.8,26.2,https://qbeeurope.com/document-library/about-us/gender-pay-gap-report/qbe-gender-pay-gap-report-2018/,Richard Pryce (CEO. European Operations),1000 to 4999,QBE MANAGEMENT SERVICES (UK) LIMITED,FALSE
Qed Academy Trust,"Northwood School,
Pinner Road,
Northwood,
Middlesex,
England,
HA6 1QW",7493622,"1,
85310",13.8,34.9,NA,NA,0,0,30.6,69.4,15.3,84.7,35.3,64.7,34.1,65.9,http://www.qedacademytrust.org.uk/,,250 to 499,Qed Academy Trust,FALSE
QPR HOLDINGS LIMITED,"Loftus Road Stadium, South Africa Road,
London,
United Kingdom,
W12 7PJ",3197756,"93110,
93120",68.9,10.7,96.1,89.3,16.1,8.6,78,22,67,33,84,16,88,12,https://www.qpr.co.uk/media/18271/qprfc-genderpayreport-2018-v1.pdf,Ruban Ghandi (Finance Director),250 to 499,QPR HOLDINGS LIMITED,FALSE
QUALITY FIRST  EDUCATION TRUST,"Webbs Road,
SW11 6PR",7768645,1,18.8,27.3,NA,NA,0,0,9,91,9,91,19,81,18,82,,,250 to 499,QUALITY FIRST  EDUCATION TRUST,FALSE
QUALITY LINE TRANSPORT LIMITED,"Busways House,
Wellington Road,
Twickenham,
Middlesex,
United Kingdom,
TW2 5NX",281992,49390,3.2,4,73.1,43.3,15.5,11.9,89,11,91.7,8.3,81.9,18.1,91.7,8.3,,Karen Fuller (HR Director),250 to 499,QUALITY LINE TRANSPORT LIMITED,FALSE
Queen Mary University of London,"Mile End Road,
LONDON,
E1 4NS",RC000710,1,13.7,10,76,47.2,5,4.8,46.3,53.7,40.4,59.6,48.5,51.5,62.2,37.8,http://hr.qmul.ac.uk/equality/gender-and-ethnicity-pay-gap-report/,,"5000 to 19,999",Queen Mary University of London,FALSE
QUILTER CHEVIOT LIMITED,"One Kingsway,
London,
United Kingdom,
WC2B 6AN",1923571,64999,42,44,71,69,89.9,90.9,48,52,44,56,74,26,88,12,,"Paul Feeney (CEO, Quilter)",500 to 999,QUILTER CHEVIOT LIMITED,FALSE
Qvc UK,"QVC,
Building 8 Chiswick Park,
566 Chiswick High Road,
London,
United Kingdom,
W4 5XU",2807164,"47910,
59113",15.1,13.1,44.1,28.4,75.6,73.8,39.7,60.3,34.9,65.1,56.3,43.7,52.8,47.2,https://www.qvcuk.com/content/dam/qvc_uk/pdf/QVC_UK_Gender_Pay_Gap_Report_2019_website.pdf,Rachael Egerton (Director People Lead),1000 to 4999,Qvc UK,FALSE
R&Q CENTRAL SERVICES LIMITED,"71 Fenchurch Street,
London,
United Kingdom,
EC3M 4BS",4179375,82990,30,35.7,18.9,37.9,92,93.8,40,60,51.6,48.4,77.4,22.6,74.2,25.8,http://www.rqih.com/,Kathy Titley (HR Manager),Less than 250,R&Q CENTRAL SERVICES LIMITED,FALSE
R.S.V.P. (MEDIA RESPONSE) LIMITED,"5th Floor Northern & Shell Tower,
4 Selsdon Way,
London,
United Kingdom,
E14 9GL",2264709,96090,4.8,-3.3,19.6,24.5,74.2,61.7,53.1,46.9,59.4,40.6,46.7,53.3,57.8,42.2,,Mark Abernethy (Managing Director),500 to 999,R.S.V.P. (MEDIA RESPONSE) LIMITED,FALSE
R.TWINING AND COMPANY LIMITED,"Weston Centre,
10 Grosvenor Street,
London,
United Kingdom,
W1K 4QY",525071,46370,14.5,7,50.6,19.5,93,86.1,55.7,44.3,37.1,62.9,45.4,54.6,52.6,47.4,https://www.twiningspeople.co.uk/twiningspeople/media/content/People/Diversity/Gender-Pay-Gap-Report-2018.pdf,Steven Napier (International HR Director),250 to 499,R.TWINING AND COMPANY LIMITED,FALSE
RACKSPACE LIMITED,"Unit 8 Unit 8, Millington Road,
Hayes,
Middlesex,
England,
UB3 4AZ",3897010,63110,21.8,24.2,36.5,14.6,80.8,77.2,71.9,28.1,76.5,23.5,84.4,15.6,89.2,10.8,https://www.rackspace.com/en-gb/responsibility,Joe Eazor (Chief Executive Officer),1000 to 4999,RACKSPACE LIMITED,FALSE
RADLEY + CO. LIMITED,"RADLEY, 3RD FLOOR,
Mcbeath House,
310 Goswell Road,
London,
EC1V 7LW",2573819,"46420,
70100",42.2,19.4,-9.2,-115.4,6.3,93.7,5,95,12,88,16,84,26,74,,Justin Stead (CEO),250 to 499,RADLEY + CO. LIMITED,FALSE
RAIL GOURMET U.K. LIMITED,"169 Euston Road,
London,
United Kingdom,
NW1 2AE",3052537,56103,4.1,0.5,42.7,34.1,38.8,59.6,74,26,64,36,72,28,75,25,https://www.foodtravelexperts.com/international/wp-content/uploads/2019/03/SSP-Gender-Pay-Gap-2018.pdf,Rachel Howarth (Group HR Director),1000 to 4999,RAIL GOURMET U.K. LIMITED,FALSE
RAIL SAFETY AND STANDARDS BOARD LIMITED,"The Helicon,
1 South Place,
London,
England,
EC2M 2RB",4655675,"49100,
52219,
52290,
94110",22,23,32,28,88,94,49,51,51,49,66,34,78,22,https://www.rssb.co.uk/Pages/about-rssb/gender-pay-gap.aspx,Keith Hanlon-Smith (Human Resources Director),250 to 499,RAIL SAFETY AND STANDARDS BOARD LIMITED,FALSE
Ralph Trustees Limited,"116 Piccadilly,
London,
W1J 7BJ",872008,82990,8,0.4,41,43.9,8,9,4.7,95.3,86.6,13.4,40.8,59.2,53.8,46.2,https://www.ralphtrustees.co.uk/,Christopher Andrews (Finance Director),1000 to 4999,Ralph Trustees Limited,FALSE
RAMBOLL UK LIMITED,"240 Blackfriars Road,
London,
SE1 8NW",3659970,71122,28.6,25.3,61.9,28.8,86.3,88.5,63.8,36.2,63.6,36.4,78.6,21.4,89.7,10.3,https://uk.ramboll.com/-/media/bba05c58bb0047dd9a54c0db9652e2c9.pdf,Mathew Riley (Managing Director UK),500 to 999,RAMBOLL UK LIMITED,FALSE
RAMSAY HEALTH CARE UK OPERATIONS LIMITED,"Level 18, Tower 42 25 Old Broad Street,
London,
United Kingdom,
EC2N 1HQ",1532937,86101,16.9,7.9,61.6,22.1,45.9,40,16.4,83.6,16.4,83.6,14.8,85.2,24.4,75.6,https://www.ramsayhealth.co.uk/legal-and-regulatory,Sarah Dent (HR Director),"5000 to 19,999",RAMSAY HEALTH CARE UK OPERATIONS LIMITED,FALSE
RAMSGATE CONSULTANTS LIMITED,"C/O Lees-Buckley & Co 16 Northfields Prospect, Putney Bridge Road,
London,
SW18 1PE",3461171,"78200,
82990",3,13,NA,NA,0,0,7,93,50,50,50,50,54,46,,Shaun Doherty (General Manager),250 to 499,RAMSGATE CONSULTANTS LIMITED,FALSE
RANC CARE HOMES LIMITED,"Coopers House,
65a Wingletye Lane,
Hornchurch,
Essex,
United Kingdom,
RM11 3AT",2325401,87100,1.9,0.3,0,0,0,0,19,81,19,81,21,79,23,77,https://www.rchcarehomes.co.uk/gender-pay-statement/,Selvanayagam Bhaskaran (Group Financial Controller),500 to 999,RCH CARE HOMES LIMITED,FALSE
Rapha Racing Ltd,"Imperial Works,
18 Tileyard Road,
London,
United Kingdom,
N7 9AH",4849594,47710,17.8,7.8,73,28.6,38,31,70,30,58,42,57,43,80,20,,Simon Mottram (CEO & Founder),250 to 499,Rapha Racing Ltd,FALSE
RAPISCAN SYSTEMS LIMITED,"One,
New Change,
London,
England,
EC4M 9AF",2755398,82990,23.4,22.8,54,-21,14.5,12.6,66.7,33.3,79,21,92.9,7.1,91,9,,Julia Shelley-Brown (Snr Human Resources Manager EMEA),250 to 499,RAPISCAN SYSTEMS LIMITED,FALSE
RAPP LIMITED,"Bankside 3,
90 - 100 Southwark Street,
London,
England,
SE1 0SW",1581935,70100,23.8,28.2,54.8,50,30.8,33.6,34.5,65.5,56.9,43.1,75.9,24.1,60.3,39.7,https://www.rapp.com/news/newsmakers/2019-uk-gender-pay-gap/,"Christopher Freeland (CEO, RAPP UK)",Less than 250,RAPP LIMITED,FALSE
RATHBONE BROTHERS PUBLIC LIMITED COMPANY,"8 Finsbury Circus,
London,
England,
EC2M 7AZ",1000403,64205,44.5,43,78.5,79.2,97.2,96.2,33,67,37,63,58,42,80,20,,Philip Howell (Chief Executive Officer),1000 to 4999,RATHBONE BROTHERS PUBLIC LIMITED COMPANY,FALSE
Ravensbourne,"6 Penrose Way,
Greenwich,
SE10 0EW",,"1,
85320,
85421,
85422",3.1,0,NA,NA,0,0,43,57,56,44,62,38,45,55,,,250 to 499,Ravensbourne,FALSE
RBC EUROPE LIMITED,"Riverbank House,
2 Swan Lane,
London,
United Kingdom,
EC4R 3BF",995939,64191,51,55,72,86,89,92,36,64,63,37,75,25,92,8,https://www.rbc.com/diversity-inclusion/diversity-inclusion-at-rbc.html?utm_source=news&utm_medium=email&utm_campaign=ent_diversity%20europe,"David Thomas (CEO, RBC Europe Limited)",500 to 999,RBC EUROPE LIMITED,FALSE
"RBC INVESTOR SERVICES TRUST, UK BRANCH","Riverbank House 2 Swan Lane,
London,
EC4R 3AF",BR008491,,20,27,39,68,83,89,40,60,58,42,68,32,72,28,https://www.rbc.com/diversity-inclusion/diversity-inclusion-at-rbc.html?utm_source=news&utm_medium=email&utm_campaign=ent_diversity%20europe,"Joanna Meager (Head, RBC Investor Services Trust, UK)",250 to 499,"RBC INVESTOR SERVICES TRUST, UK BRANCH",FALSE
RBH HOTEL MANAGEMENT LIMITED,"10th Floor, The Mille,
1000 Great West Road,
Brentford,
England,
TW8 9DW",7316555,68320,8.6,1.7,57.8,0,58,42,58,42,52,48,71,29,100,0,https://www.rbhmanagement.com/gender-pay-gap/,Martin MacPhail (Director of Human Resources),250 to 499,RBH HOTEL MANAGEMENT LIMITED,FALSE
RE (REGIONAL ENTERPRISE) LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",8615172,96090,14.3,11.7,84.4,76.5,6.6,1.8,45.2,54.8,44.3,55.7,50.7,49.3,66.7,33.3,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,RE (REGIONAL ENTERPRISE) LIMITED,FALSE
RED BEE MEDIA LIMITED,"Building 1 566 Chiswick High Road,
London,
England,
W4 5BE",4257461,60200,19.9,20.4,33.1,28.6,22,11.4,49.4,50.6,59.1,40.9,66.7,33.3,81.1,18.9,https://www.redbeemedia.com/wp-content/uploads/2019/03/Gender-Pay-Gap-Red-Bee-Media-External-Pack-FINAL.pdf,Claire Allen (Head of Human Resources),1000 to 4999,RED BEE MEDIA LIMITED,FALSE
